Comment,deepseek-r1:8b - Sentiment,deepseek-r1:8b - Reasoning,deepseek-r1:8b - Total Duration,deepseek-r1:8b - Load Duration,deepseek-r1:8b - Prompt Eval Count,deepseek-r1:8b - Prompt Eval Duration,deepseek-r1:8b - Eval Count,deepseek-r1:8b - Eval Duration,deepseek-r1:8b - Temperature,deepseek-r1:8b - Seed,deepseek-r1:8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment 'Leaving. Very impressed but getting old. Peace out.' has a positive tone overall. The phrase 'Very impressed' indicates satisfaction or approval, which is a positive sentiment. However, the mention of 'getting old' could imply some negativity; however, it's used in a light-hearted manner and doesn't overshadow the positive aspect. The use of 'Peace out' adds a casual and friendly tone, further contributing to the positivity. Overall, the comment conveys approval and farewell in a positive and respectful way.",6.75,0.02,150,2.59,128,4.14,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment starts with 'love' and expresses appreciation for the content, indicating a positive tone. The user mentions being entertained and using the videos to get through tough days, which further shows positivity. They also request a trick with specific numbers but do so in a polite manner, maintaining a positive intent. Overall, the comment is appreciative and supportive.",3.64,0.02,292,0.55,93,3.07,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The comment mentions that the person 'trash talks' themselves, which can be seen as self-deprecating. However, in this context, it might not necessarily be negative. The phrase could imply a humorous or light-hearted criticism rather than a genuine negative sentiment. Additionally, without more context from the transcript, it's hard to determine the exact tone. Therefore, considering the possibility of humor and lack of definitive negative intent, the sentiment is classified as POSITIVE.",4.10,0.01,149,0.14,121,3.95,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with a positive tone by using an exclamation mark and a smiley face, indicating excitement. The phrase 'I love how' suggests a positive sentiment towards the content or presentation. While there is a mention of uncertainty ('don't even know what's real anymore'), this doesn't negate the overall positive tone, as it's more about confusion rather than dissatisfaction. The final statement 'you are still the goal' reinforces positivity by highlighting admiration for the person or entity being discussed.",4.15,0.02,176,0.24,120,3.90,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment 'I am so good' with emojis like 😂😂😂 indicates a positive and confident tone. The use of multiple laughing emojis suggests the speaker is in a happy or lighthearted mood, which aligns with positivity. Additionally, the phrase 'I am so good' reflects self-assurance and satisfaction, further contributing to a positive sentiment.",3.56,0.01,154,0.14,104,3.41,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong admiration and appreciation, highlighting the speaker's positive experience and feelings towards the person or content creator. Words like 'best ever,' 'awesome,' and 'thanks' convey enthusiasm and satisfaction.",2.69,0.01,205,0.33,70,2.35,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment uses a positive tone with 'nicely done' and adds humor with the laughing emoji. The mention of paying $500 for an ad suggests a light-hearted critique, but overall, the sentiment remains positive as it's presented in a humorous and approving manner.",2.86,0.01,153,0.14,82,2.71,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses a strong positive sentiment towards Jason, calling him 'even better live' and declaring him as the 'GOAT,' which stands for Greatest Of All Time. The use of exclamation marks indicates enthusiasm and satisfaction. Words like 'definitely' and 'better' contribute to a positive tone.",2.89,0.01,156,0.14,84,2.74,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment 'Always love the waterfall trick! Truly impressive' demonstrates a strong positive sentiment. The use of exclamation marks and the words 'love' and 'impressive' indicate enthusiasm and satisfaction. There are no negative words or phrases present, which further supports the positive tone.",2.73,0.01,146,0.14,79,2.58,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment starts with a positive tone, expressing admiration for the tricks performed. The user mentions 'tricks' in a respectful and appreciative manner, indicating they are impressed. Words like 'careful analysis' and 'mastered it' further highlight their admiration and belief in the magic performed. There is no negative language or sarcasm used here; instead, the focus is on appreciation and respect for the magician's skills.",3.98,0.01,185,0.24,113,3.73,0,1,8192
