Comment,gemma2:2b - Sentiment,gemma2:2b - Reasoning,gemma2:2b - Total Duration,gemma2:2b - Load Duration,gemma2:2b - Prompt Eval Count,gemma2:2b - Prompt Eval Duration,gemma2:2b - Eval Count,gemma2:2b - Eval Duration,gemma2:2b - Temperature,gemma2:2b - Seed,gemma2:2b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"This comment expresses a clear sentiment of negativity, despite the initial positive statement about the content being 'very impressive'. The use of the phrase 'getting old' suggests a sense of disappointment or dissatisfaction with the video's longevity.  The final phrase 'Peace out' further reinforces this negative sentiment by implying a departure from the content and potentially even a disengagement with the creator.",2.29,0.05,154,0.84,93,1.40,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"This comment expresses overwhelmingly positive sentiment. Here's why: 1) **Strong Affection and Appreciation:** The commenter starts by expressing their love for Jason's videos, highlighting the impact they have had on them (",1.66,0.02,300,0.18,79,1.46,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"This comment expresses a strong negative sentiment. Here's why:

* **",0.96,0.02,152,0.04,46,0.89,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"This comment exhibits a positive sentiment due to several factors: 1) **The use of emojis:** The inclusion of '😅' suggests a lighthearted and playful tone, indicating a generally positive feeling towards the content. 2) **Positive phrasing:** Phrases like 'love how...' and 'you are still the goal' express admiration and appreciation for the creator. 3) **Relatable sentiment:**  The comment acknowledges the difficulty of discerning authenticity in sponsored content (",1.89,0.02,181,0.07,114,1.80,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"This comment exhibits a clear and strong **positive sentiment**. The use of the word 'good' followed by the laughing emoji (🤣) indicates a sense of self-satisfaction, humor, or even boastfulness. 😜  The tone is lighthearted and playful, suggesting a positive emotional state.",1.30,0.02,149,0.04,77,1.23,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"This comment expresses overwhelmingly positive sentiment. Here's why: 1) **Strong Positive Language:** The commenter uses phrases like 'hands down the best,' 'awesome content,' and 'helluva guy to hang out with.' These are all highly positive descriptors, indicating a strong sense of admiration and enjoyment. 2) **Repetition and Emphasis:**  The phrase 'It doesn't matter how many times I watch these videos...' shows a deep engagement and appreciation for the content. This repetition emphasizes the speaker's conviction about the video creator's skill. 3) **Contextual Clues:** The comment is clearly directed towards a YouTube video or channel, suggesting that the commenter has enjoyed watching it repeatedly.  The mention of wanting to hang out with the creator further reinforces the positive sentiment.",2.78,0.02,213,0.10,179,2.66,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"This comment exhibits a positive sentiment due to several factors: 

* **",1.35,0.02,156,0.04,61,1.28,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"This comment expresses a strong positive sentiment towards Jason, using several indicators: 

* **'Saw Jason live in Boca Raton'**: This indicates a personal experience and positive association with the event.
* **'He is even better live'**: This directly compares the performance to something else (presumably recorded), implying a higher quality or enjoyment in the live setting.  
* **'Definitely the GOAT!!'**: This phrase uses hyperbolic language (",2.09,0.02,158,0.04,122,2.03,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"This comment expresses strong positive sentiment. Here's why:

* **Tone Analysis:** The phrase 'Always love the waterfall trick!' conveys a clear sense of enjoyment and appreciation for something. It uses enthusiastic language like 'love' and 'truly impressive'. This indicates a positive emotional tone.
* **Key Phrases/Words:**  The words ",1.73,0.02,149,0.05,101,1.66,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,This comment expresses a strong positive sentiment. Here's why: 1) **,1.24,0.02,191,0.07,56,1.14,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment expresses a negative sentiment through its use of the phrase 'burning'. This is likely an expression of amusement or disapproval, suggesting that the CGI machine in question is malfunctioning or producing undesirable results.  humourously implying it's failing.  Here's why: 

* **Tone:** The tone is sarcastic and playful, using a humorous exaggeration to express dissatisfaction. The use of '😂' further emphasizes this comedic aspect.
* **Key Phrases/Words:**  ",2.32,0.02,152,0.04,127,2.26,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"This comment expresses strong positive sentiment towards the video content and the creator's skills. Here's why:

* **Tone Analysis:** The tone is enthusiastic and appreciative, using words like 'great', 'amazing', and 'genius'. This indicates a positive emotional response to the video.
* **Key Phrases/Words:**  
    * **",1.83,0.02,173,0.07,104,1.74,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"This comment expresses a clear negative sentiment. Here's why:

* **Tone Analysis:** The phrase 'talking to the wall' suggests frustration, loneliness, and possibly even despair. It implies a lack of connection or communication, which is inherently negative.
* **Key Phrases/Words:**  The use of ",1.73,0.02,158,0.05,95,1.67,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment expresses a lack of appreciation for the 'blooper' being left in. This suggests a negative sentiment, as it implies disapproval or even frustration with the inclusion of this element. }",1.04,0.02,148,0.04,62,0.97,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"This comment expresses overwhelming positive sentiment towards the content creator, Jason. Here's why: 1) **Exaggerated Excitement:** The use of emojis like 😂 and ❤❤ indicates a strong emotional response to the video. 2) **Humor:** The phrase 'Leap out of the deck??!! 😂' suggests a sense of amusement and excitement at the unexpected action, further reinforcing positive feelings. 3) **Admiration:** Phrases like ",2.36,0.02,176,0.07,129,2.27,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,This comment expresses a negative sentiment towards the person being praised for their skill. Here's why: 1) **,1.36,0.02,163,0.05,68,1.29,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"This comment expresses strong positive sentiment. Here's why:

* **Tone Analysis:** The phrase 'Absolutely incredible!' clearly conveys a sense of excitement and admiration. It uses exclamation points to emphasize the speaker's enthusiasm.
* **Key Phrases/Words:**  The words 'Waterfall,' 'two cards,' and 'incredible' all contribute to the positive sentiment. These terms suggest awe, beauty, and appreciation for the subject matter.
* **Context Consideration:** The comment lacks context, but the use of exclamation points suggests a personal experience or observation that is highly favorable. This implies a positive emotional response to something witnessed or experienced.",2.31,0.02,150,0.04,151,2.24,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"This comment expresses strong positive sentiment. Here's why:

* **Tone analysis:** The tone is enthusiastic and appreciative, using words like 'really enjoy,' 'mind blowing,' and 'take care.' These phrases indicate a positive emotional response.
* **Key phrases/words:**  'Really enjoy,' 'mind blowing,' and 'Take care eh ✌️🇨🇦' all contribute to the positive sentiment. The use of emojis further reinforces this positivity.
* **Context consideration:** While there is no transcript provided, we can infer that the comment likely relates to a YouTube video or channel featuring card manipulation skills. This context suggests a shared interest in the subject matter and contributes to the overall positive sentiment.",2.52,0.02,162,0.04,164,2.46,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"This comment exhibits a strong positive sentiment. Here's why: 

* **Tone Analysis:** The commenter uses an excited and enthusiastic tone, evident in phrases like 'Aha!mm', 'i figuree it out', and 'payclose attention'. This suggests they are engaged with the content and have discovered something interesting.
* **Key Phrases/Words:**  The phrase ",1.98,0.02,210,0.10,108,1.87,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"This comment expresses strong agreement and endorsement. Here's why:

* **",0.98,0.02,148,0.04,48,0.91,0,1,8192
