Comment,qwen2.5:1.5b - Sentiment,qwen2.5:1.5b - Reasoning,qwen2.5:1.5b - Total Duration,qwen2.5:1.5b - Load Duration,qwen2.5:1.5b - Prompt Eval Count,qwen2.5:1.5b - Prompt Eval Duration,qwen2.5:1.5b - Eval Count,qwen2.5:1.5b - Eval Duration,qwen2.5:1.5b - Temperature,qwen2.5:1.5b - Seed,qwen2.5:1.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses disappointment and a sense of nostalgia, using phrases like 'getting old' which indicates dissatisfaction with the subject's performance or abilities. The overall tone is negative, focusing on the past rather than present achievements.",1.29,0.02,175,0.58,61,0.68,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses gratitude and appreciation for Jason's videos, indicating a positive sentiment. The user mentions that the videos have helped them during their deployment in Iraq, which is a significant achievement. They also request a specific trick (6, 1, and 8) from Jason, showing interest and engagement with the content. The overall tone is friendly and appreciative, without any negative or critical comments. The user's enthusiasm for future posts indicates continued support and positive feelings towards Jason's channel.",1.47,0.01,318,0.14,116,1.31,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment towards the person being discussed. The key phrases and words that influence this decision are 'trash talks' and 'truly no one is safe'. These terms indicate criticism and insecurity, which are typically associated with a negative emotional tone. Additionally, the overall context suggests a lack of confidence or safety for others, further reinforcing the negative sentiment.",1.06,0.01,174,0.04,91,1.01,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses enthusiasm and appreciation for a feature that is described as 'welcome to the hustle'. The use of emojis like 😅 indicates a light-hearted or humorous tone, which aligns with positive sentiment. Key phrases such as 'I love' and 'you are still the goal' convey admiration and encouragement. There's no negative language or criticism mentioned, further supporting a positive interpretation.",1.13,0.01,201,0.06,95,1.06,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses a positive sentiment through the use of 'so good' and the laughing emojis (🤣). The phrase indicates satisfaction or approval, which is generally considered positive. The context appears to be informal and playful, further supporting a positive interpretation.",0.80,0.01,175,0.04,67,0.74,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive sentiment towards the video creator, using phrases such as 'hands down the best' and 'awesome content'. The commenter also mentions that they would like to hang out with the creator, indicating a favorable impression. There are no negative words or criticisms in the comment.",0.93,0.01,230,0.07,75,0.84,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment expresses a negative sentiment towards the person being praised, as indicated by the use of 'Nicely done' which is typically used to compliment someone's work or performance. The phrase 'she paid 500 for an advertisement' suggests that the person was not satisfied with the quality of the advertisement they paid for, implying dissatisfaction with the product or service. The exclamation mark and the emoji (😂) further emphasize the negative sentiment by adding a sarcastic tone to the comment.",1.34,0.01,180,0.04,116,1.28,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses strong approval and admiration for someone named Jason, specifically mentioning that they are 'even better live' than previously seen or heard. The use of 'GOAT' (greatest of all time) is a clear indicator of high regard and positive sentiment towards the subject. There are no negative words or phrases present in the comment.",1.01,0.01,181,0.04,86,0.96,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses enthusiasm and admiration for a specific trick, using positive language such as 'Always love' and 'truly impressive'. The context of waterfalls is typically associated with natural beauty and awe-inspiring scenes, which aligns well with the positive sentiment. There are no negative words or phrases present in the comment.",0.96,0.01,171,0.04,82,0.91,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The commenter expresses admiration for the YouTube channel's skills, stating they can't spot how tricks are performed. The use of phrases like 'Magic is 100% real' and 'you my friend have mastered it!' indicates a strong belief in the authenticity of the content. This sentiment is clearly positive.",0.96,0.01,212,0.06,80,0.89,0,1,8192
This man's CGI machine must be burning  😂,NEGATIVE,"The comment expresses a negative sentiment towards the CGI (Computer Generated Imagery) used in the video. The use of 'burning' and '😂' indicates frustration or disappointment with the quality of CGI, which is generally considered inferior to live-action footage. The context suggests that the commenter finds the CGI machine's output unsatisfactory.",1.00,0.01,174,0.04,85,0.94,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration and appreciation for the video, using positive language such as 'Another great vid' and calling the creator a 'Genius'. The phrase 'must be up to half a dozen employees by now' implies that the creator's talent is impressive enough to require a large team. This suggests high regard for the creator's abilities. Additionally, the comment includes an exclamation point, indicating enthusiasm or excitement.",1.20,0.01,195,0.06,101,1.13,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration and criticism towards Mr. Jason, using phrases such as 'talking to the wall' which implies that he is not engaging with others effectively or meaningfully. The tone is dismissive and critical, indicating a negative sentiment.",0.80,0.01,180,0.04,67,0.74,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment expresses respect and appreciation for a mistake or error, which is generally considered negative sentiment. The use of 'blooper' suggests that this was an unintentional slip-up or oversight, implying that the person making the comment feels it's not worth their time to address or correct. This implies disappointment or frustration with the situation.",0.99,0.01,170,0.04,84,0.93,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses enthusiasm and admiration for the person being addressed, using phrases like 'leap out of the deck', 'ready', 'master goat', and 'stunned'. The use of emojis and positive language indicates a highly positive sentiment. There are no negative words or criticisms present in the comment.",0.94,0.01,206,0.06,78,0.87,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment expresses a negative sentiment towards arrogance, which is not typically associated with positive qualities. The commenter seems to be criticizing someone for being proud or self-important in their abilities. Key phrases like 'arrogant' and the implication that this person has 'earned the right' suggest disappointment or disapproval of the individual's behavior.",0.99,0.01,183,0.04,84,0.94,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses strong positive emotion towards the waterfall and its associated feature, which is a card. The use of 'Absolutely' indicates enthusiasm and approval. Key phrases like 'incredible' further reinforce the positive sentiment. There are no negative words or criticisms present in the comment.",0.87,0.01,171,0.04,73,0.81,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and admiration for the channel's content, specifically praising the 'card manipulation skills'. The use of 'mind blowing' indicates a high level of appreciation. Additionally, the inclusion of 'Take care eh ✌️🇨🇦' suggests a friendly and positive interaction with the user. Overall, the tone is enthusiastic and complimentary.",1.01,0.01,185,0.04,86,0.96,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment expresses frustration and confusion. The user is trying to figure out a trick or puzzle, but seems unable to understand the solution. Key phrases like 'I figuree it out' and 'no idea how he does it' indicate disappointment and lack of understanding. There are no positive elements in the comment.",0.98,0.01,233,0.08,80,0.89,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment is positive because the word 'legit' indicates credibility and trustworthiness. The phrase 'shuffles legit' suggests that something is done in a legitimate or proper manner, which implies approval of the action being described. There are no negative words or phrases used in this comment.",0.90,0.01,168,0.04,76,0.84,0,1,8192
