Comment,smollm2:360m - Sentiment,smollm2:360m - Reasoning,smollm2:360m - Total Duration,smollm2:360m - Load Duration,smollm2:360m - Prompt Eval Count,smollm2:360m - Prompt Eval Duration,smollm2:360m - Eval Count,smollm2:360m - Eval Duration,smollm2:360m - Temperature,smollm2:360m - Seed,smollm2:360m - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment is overwhelmingly positive, with a tone that suggests the user has high praise for the video and is satisfied with its content. The use of words like 'very impressive,' 'peace out,' and 'getting old' indicate a strong endorsement from the viewer. Additionally, the context of leaving a comment on a YouTube video where the user is expressing appreciation for the content and sharing their experience suggests that they are generally enthusiastic about the video.",1.26,0.02,167,0.40,107,0.83,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The YouTube comment is expressing gratitude towards Jason for his support during deployment. The tone of the comment is enthusiastic and appreciative, with phrases like 'love you' and 'me in pfp.' Additionally, the context suggests that Jason has been a source of comfort and inspiration to the user, who mentions they are currently deployed in Iraq. The use of words such as 'trick,' 'deployed,' and 'Iraq' also contribute to the positive sentiment.",0.94,0.01,310,0.04,113,0.89,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"He even trash talks himself, which suggests that he has a strong sense of humor and enjoys mocking others. This tone indicates that the commenter is likely to be humorous and lighthearted.",0.45,0.01,165,0.02,57,0.43,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The tone of this comment is overwhelmingly positive, with a strong emphasis on enthusiasm and excitement for the content. The use of words like 'hustle' and 'love' suggests that the user genuinely enjoys the video and finds it engaging. Additionally, the inclusion of the tag 'includes paid promotion' implies that the video has been promoted or sponsored by someone or something, which further supports a positive sentiment.",0.80,0.01,195,0.02,101,0.77,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment 'I am so good' is a positive sentiment. The tone of the comment is enthusiastic and sincere, with words like 'so', 'amazing', and 'amazingly'. These words convey a sense of pride and satisfaction in performing well. Additionally, the context of the video suggests that the person is praising their skills or accomplishments, which further supports the classification as positive sentiment.",0.78,0.01,170,0.02,99,0.75,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The tone of this comment is overwhelmingly positive, as evidenced by the use of words such as 'best,' 'hands down,' and 'helluva.' Additionally, the context suggests that the person watching these videos has had a favorable experience with the content. The phrase 'it's not even close' also reinforces the sentiment, implying that the reviewer finds this individual to be exceptionally talented.",0.78,0.01,222,0.03,97,0.75,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"Nicely done, she paid $500 for a product endorsement. The tone of the comment is enthusiastic and appreciative, suggesting that the reviewer was satisfied with their purchase.",0.45,0.01,171,0.02,56,0.42,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The tone of this comment suggests that the person who made it was generally pleased with their experience, as evidenced by the use of words like ",0.41,0.01,175,0.02,49,0.39,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment is overwhelmingly positive. The use of words like 'always' and 'truly impressive' suggests a high level of enthusiasm and admiration for the technique. Additionally, the phrase 'Truly impressive' implies that the person found this trick to be remarkable or noteworthy.",0.62,0.01,163,0.02,74,0.59,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"After careful analysis, I have determined that the YouTube comment expresses a positive sentiment. The tone of the comment is enthusiastic and supportive, with phrases such as ",0.44,0.01,204,0.02,52,0.41,0,1,8192
