Comment,smollm2:360m - Sentiment,smollm2:360m - Reasoning,smollm2:360m - Total Duration,smollm2:360m - Load Duration,smollm2:360m - Prompt Eval Count,smollm2:360m - Prompt Eval Duration,smollm2:360m - Eval Count,smollm2:360m - Eval Duration,smollm2:360m - Temperature,smollm2:360m - Seed,smollm2:360m - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The sentiment of this comment is positive, as it expresses satisfaction and appreciation for the person's accomplishment. The use of words like ",0.96,0.01,632,0.52,46,0.41,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The sentiment analysis of the YouTube comment is positive, indicating that the user expresses appreciation for Jason's videos and wishes to receive a trick with the 6, 1, and 8. The use of words like ",0.64,0.01,775,0.04,65,0.59,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The sentiment of this comment appears to be positive, as it expresses admiration for Dr. Elana's expertise and confidence in her abilities. The use of words like ",0.48,0.01,630,0.02,53,0.46,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The sentiment of this YouTube comment is positive, as it expresses enthusiasm and approval for Dr Elana a top cosmetic dentist in San Diego. The use of the word ",0.49,0.01,659,0.02,53,0.46,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The sentiment of this comment is positive. The user expresses enthusiasm and satisfaction with the offer, using words like 'so good' and 'amazing'. This suggests that they are genuinely pleased with the deal.",0.54,0.01,634,0.02,61,0.52,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The sentiment of this YouTube comment is positive, as it expresses admiration and appreciation for Dr. Elana's exceptional skills in cosmetic dentistry. The use of words like 'hands down' and 'best' further emphasizes the high praise being given to her abilities. Additionally, the fact that the person watching the video has already seen similar content suggests a level of familiarity with the topic.",0.85,0.01,686,0.03,95,0.82,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The sentiment of this comment is positive, as it expresses satisfaction with the advertisement. The use of words like ",0.39,0.01,636,0.02,42,0.37,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The sentiment of this comment is positive, as it expresses enthusiasm and admiration for Jason's performance at a live event in Boca Raton. The use of words like ",0.51,0.01,641,0.02,55,0.48,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The sentiment of this comment is positive, as it expresses a favorable opinion about the waterfall trick. The use of words like 'always' and 'truly impressive' contribute to this classification.",0.52,0.01,628,0.02,58,0.49,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"After careful analysis, I have determined that Magic is indeed a real phenomenon. The video clearly shows the expert pulling off complex tricks with ease, which suggests that they are skilled and well-trained in their craft.",0.56,0.01,668,0.02,62,0.53,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The sentiment of this comment is positive. The person is praising the quality and effectiveness of the CGI machines used in the video, which suggests that they are satisfied with the product or service being advertised.",0.52,0.00,630,0.02,59,0.50,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,The YouTube comment contains positive sentiment as it praises the vid's CGI crew and highlights the genius of the actor. The use of words like 'genius' and 'amazing tricks' also contribute to this positive tone.,0.58,0.00,653,0.02,65,0.55,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,The sentiment of this comment is positive because it expresses admiration and appreciation for the difficulty of the task. The use of words such as 'hardest thing' and 'talking to the wall' suggests that the person who made the comment found the task challenging but still enjoyed the experience.,0.68,0.01,636,0.02,77,0.66,0,1,8192
Respect for leaving in the blooper,POSITIVE,The sentiment of this comment is positive. The person expressing their appreciation acknowledges that they left a bloopers video and expresses respect for doing so.,0.44,0.01,627,0.02,49,0.41,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"Jason's comment is enthusiastic and positive, indicating that he enjoyed the video and found it engaging. The use of words like ",0.44,0.01,675,0.02,47,0.41,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The sentiment of this comment appears to be positive, as it expresses admiration for a person's exceptional skills and accomplishments. The use of words like 'love' and 'earn the right' also contribute to a sense of appreciation and respect.",0.61,0.01,639,0.02,68,0.58,0,1,8192
