Comment,llama3.2:3b - Sentiment,llama3.2:3b - Reasoning,llama3.2:3b - Total Duration,llama3.2:3b - Load Duration,llama3.2:3b - Prompt Eval Count,llama3.2:3b - Prompt Eval Duration,llama3.2:3b - Eval Count,llama3.2:3b - Eval Duration,llama3.2:3b - Temperature,llama3.2:3b - Seed,llama3.2:3b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment's emotional tone is dismissive and slightly annoyed, with a hint of boredom. The use of the phrase 'getting old' implies that the commenter has seen this type of content before and is no longer impressed. The word choice is also somewhat negative, with words like 'leaving' and 'peace out' conveying a sense of finality and disinterest. There is no positive or neutral language in the comment, which further reinforces its negative sentiment. Overall, the commenter's tone suggests that they are leaving the video or channel due to lack of interest or excitement.",4.20,0.02,614,1.85,133,2.34,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment's emotional tone is overwhelmingly positive, with the user expressing gratitude and appreciation for the creator's content. The use of affectionate language, such as 'love you' and 'All love from Iraq,' conveys a sense of warmth and admiration. Key phrases that reinforce this sentiment include 'Your videos have gotten me through a lot of tough days of deployment,' which highlights the creator's impact on the user's life, and 'I wish you nothing but more success and growth on your channel.' The comment also includes lighthearted humor with the phrase 'don't die of boredom out here,' further emphasizing the positive tone. Overall, the sentiment is one of appreciation, gratitude, and enthusiasm for the creator's content.",3.26,0.01,756,0.30,165,2.94,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment's emotional tone is critical and mocking, with the user expressing disdain for the content creator. The word choice is also aggressive, using phrases like 'trash talks' to describe themselves. This suggests that the user has a negative opinion of the content creator's behavior or attitude. There is no context provided in the comment itself, but based on the tone and language used, it can be inferred that the user is expressing frustration or annoyance with the content creator's actions or words.",2.08,0.01,612,0.07,114,1.99,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with a playful and sarcastic tone, using the phrase 'Welcome to the hustle, indeed!' which implies that the commenter is aware of the potential for paid promotion in the video. The use of the laughing face emoji (😅) further emphasizes the lighthearted and humorous tone. However, the commenter's subsequent statement 'I don't even know what's real anymore' suggests a sense of skepticism or cynicism towards the content. Despite this, the final phrase 'But you are still the goal' indicates that the commenter has come to accept and even appreciate the content creator's efforts. Overall, the sentiment is positive, as the commenter seems to be poking fun at the potential for paid promotion while ultimately showing admiration for the content creator's work.",3.18,0.01,639,0.11,173,3.05,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment's emotional tone is overwhelmingly positive, conveyed through the use of enthusiastic language and exaggerated facial expressions (represented by the laughing emojis). The phrase 'I am so good' is a clear expression of confidence and satisfaction. Key phrases that influenced this decision include 'I am so good', which directly states the commenter's positive sentiment, and the repeated laughing emojis, which amplify the tone of excitement and amusement. Overall, the comment's tone suggests that the commenter is pleased with themselves or their accomplishment, indicating a positive emotional state.",2.24,0.01,616,0.07,123,2.16,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with words and phrases such as 'hands down', 'not even close', and 'helluva guy' conveying a strong sense of admiration and enthusiasm. The use of superlatives like 'best' and the exclamation mark at the end of the sentence further emphasize the commenter's excitement and appreciation for the content creator. Additionally, the comment includes personal opinions about the creator's personality, suggesting that the commenter has formed a connection with them. Overall, the tone is upbeat, enthusiastic, and supportive, indicating a strongly positive sentiment.",2.52,0.01,668,0.15,134,2.36,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment's emotional tone is lighthearted and playful, indicated by the use of a laughing face emoji (😂). The word choice is also positive, with the phrase 'Nicely done' conveying admiration and approval. Additionally, the comment's sarcastic remark about paying $500 for an advertisement adds to its humorous tone. Overall, the sentiment is one of amusement and appreciation for the video content.",1.85,0.01,616,0.07,101,1.77,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with words and phrases such as 'even better live', 'Definitely the GOAT' (Greatest of All Time), which convey admiration and enthusiasm. The use of capital letters for 'GOAT' emphasizes the speaker's strong opinion. The context suggests that the commenter has seen Jason perform live in Boca Raton and was impressed, further reinforcing their positive sentiment. There are no negative words or phrases used in the comment, indicating a completely positive emotional tone.",2.15,0.01,621,0.07,119,2.07,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment's emotional tone is enthusiastic and admiring, as indicated by the use of the phrase 'Always love' which conveys a sense of fondness and appreciation. The word choice is also positive, with the use of the adjective 'impressive' to describe the waterfall trick. This suggests that the commenter finds the trick to be exceptional and enjoyable to watch. There is no negative language or tone in the comment, further reinforcing its positive sentiment.",1.97,0.01,609,0.07,108,1.89,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with a sense of admiration and respect for the creator. The use of words like 'very closely', 'after careful analysis', and 'you my friend have mastered it' convey a strong sense of enthusiasm and appreciation. The phrase 'I have decided that Magic is 100% real' further emphasizes the commenter's conviction and positivity towards the topic. There are no negative or neutral phrases in the comment, which suggests that the commenter is genuinely impressed and supportive of the creator's skills.",2.30,0.01,648,0.11,123,2.17,0,1,8192
