Comment,deepseek-r1:7b - Sentiment,deepseek-r1:7b - Reasoning,deepseek-r1:7b - Total Duration,deepseek-r1:7b - Load Duration,deepseek-r1:7b - Prompt Eval Count,deepseek-r1:7b - Prompt Eval Duration,deepseek-r1:7b - Eval Count,deepseek-r1:7b - Eval Duration,deepseek-r1:7b - Temperature,deepseek-r1:7b - Seed,deepseek-r1:7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a mix of positive and negative sentiments, but the overall tone leans towards negativity. The phrase 'getting old' clearly conveys dissatisfaction with the content or service presented in the video. Additionally, the use of 'Leaving' suggests a desire to avoid further engagement with the topic, indicating a negative sentiment.",6.48,0.01,601,3.63,86,2.83,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment expresses gratitude towards the creator for providing entertaining content during tough times, but it also includes a negative request regarding the creator's channel growth and scheduling. The user mentions their deployment in Iraq and expresses concern about the creator's success, which could imply that the creator might not prioritize their own development enough to accommodate the user's return plans. This creates a somewhat negative tone towards the creator's potential lack of consideration for their personal commitments.",4.16,0.01,744,0.53,109,3.62,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses strong negativity towards Dr. Elana, highlighting her tendency to perform self-deprecating humor and dismissive remarks about others. The phrase 'he even trash talks himself' suggests a lack of respect for his own expertise and the audience's safety, indicating a negative sentiment.",2.78,0.01,599,0.13,79,2.63,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment expresses a negative sentiment towards the video's content. The phrase 'I don't even know what's real anymore' indicates doubt or skepticism about the claims made in the video, suggesting that the viewer finds the information presented unreliable or fake. Additionally, the use of emojis like 😅 adds to the casual and somewhat dismissive tone. The overall sentiment is negative because the comment reflects a critical view of the video's promotion tactics.",3.93,0.01,626,0.23,111,3.68,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses a positive emotion with emojis, indicating satisfaction or approval. The phrase 'I am so good' conveys self-approval and happiness.",1.90,0.01,599,0.14,52,1.75,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong approval and enthusiasm, highlighting the speaker's high opinion of the dentist mentioned in the video. The use of words like 'best' and 'helluva guy' indicates a positive sentiment. Additionally, the phrase 'Thanks for all the awesome content!' reinforces the positive sentiment by acknowledging the quality of the content.",3.33,0.01,655,0.31,90,3.00,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment expresses a negative sentiment towards the ad, indicating dissatisfaction with the service or the cost. The phrase 'she paid $500 for an advertisement' suggests that the viewer found the ad overpriced and not worth the investment, which reflects a critical evaluation of the service provided.",2.81,0.01,605,0.14,80,2.66,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses high satisfaction and admiration for Jason's performance, using words like 'GOAT' which conveys extreme positivity.",1.82,0.01,608,0.14,49,1.67,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a positive sentiment towards the 'waterfall trick.' The use of words like 'always love' and 'truly impressive' clearly conveys enthusiasm and satisfaction with the described method. The context from the video, which highlights the effectiveness of the trick through various demonstrations, supports this positive evaluation.",2.89,0.01,596,0.13,83,2.75,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,NEGATIVE,"The comment expresses frustration with the explanation of the magic trick, indicating confusion and impatience. The phrase 'I can never spot how in the world' conveys disappointment, suggesting that the viewer feels the explanation is lacking or unclear, leading to a negative sentiment.",2.82,0.01,637,0.23,77,2.58,0,1,8192
