Comment,deepseek-r1:8b - Sentiment,deepseek-r1:8b - Reasoning,deepseek-r1:8b - Total Duration,deepseek-r1:8b - Load Duration,deepseek-r1:8b - Prompt Eval Count,deepseek-r1:8b - Prompt Eval Duration,deepseek-r1:8b - Eval Count,deepseek-r1:8b - Eval Duration,deepseek-r1:8b - Temperature,deepseek-r1:8b - Seed,deepseek-r1:8b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment begins with 'Leaving,' which might indicate dissatisfaction or finality, but the tone shifts to 'Very impressive but getting old.' This phrase suggests that while the content is appreciated, there's a sense of weariness or aging, which could imply negativity. However, the overall sentiment leans towards positive due to the appreciation aspect.",7.14,0.01,584,4.10,89,3.02,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment starts with 'Hey Jason, love you and your videos' indicating a positive tone. The user expresses gratitude for entertainment during deployment, which is heartfelt. They also make a specific request but it's presented in a friendly manner. Words like 'love,' 'thank you,' and 'I wish you nothing but more success' are key phrases that convey positivity. Additionally, the user mentions planning to attend a show upon return, showing enthusiasm and intent to engage further. Overall, the sentiment is positive due to the combination of appreciation, requests, and hopeful future interactions.",5.27,0.02,726,0.56,136,4.68,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The comment 'He even trash talks himself truly no one is safe' suggests a positive sentiment. The phrase 'trash talks himself' implies confidence and self-assuredness, which are typically associated with positive traits. Additionally, the statement highlights his skill or ability in a way that could be seen as impressive, further contributing to a positive tone.",3.21,0.01,582,0.14,90,3.06,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment starts with 'Welcome to the hustle, indeed!' which is a positive expression indicating approval and excitement. The phrase 'I love how the 'includes paid promotion' tag was there' suggests that the commenter appreciates transparency or acknowledgment of promotional content, which can be seen as positive in some contexts. However, the next part 'I don't even know what's real anymore' implies skepticism or doubt about the authenticity of the content, which could be negative. But overall, the comment ends with 'you are still the goal,' which is a compliment and reinforces positivity. The use of emojis like 😅 adds a light-hearted tone. While there's some skepticism, the majority of the comment is positive in tone.",5.90,0.01,609,0.24,166,5.64,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment uses an emoji and the phrase 'I am so good' which conveys a positive tone. The use of multiple laughing emojis emphasizes the speaker's happiness or satisfaction, further indicating a positive sentiment.",2.16,0.01,586,0.14,60,2.01,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong admiration and appreciation, highlighting the speaker's positive experience and feelings towards the content creator. Words like 'best ever,' 'awesome content,' and 'hang out' convey enthusiasm and satisfaction.",2.72,0.01,638,0.34,68,2.37,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment uses a positive tone with 'nicely done' and adds humor by mentioning the $500 advertisement, which suggests approval rather than criticism.",1.90,0.01,586,0.14,51,1.74,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment uses an exclamation mark and calls Jason 'the GOAT,' which stands for Greatest Of All, indicating a very positive sentiment towards him. The use of 'definitely' also reinforces this positivity.",2.38,0.01,591,0.14,65,2.23,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment 'Always love the waterfall trick! Truly impressive' uses exclamation marks and positive adjectives like 'love,' 'truly impressive.' These indicate a strong positive sentiment. The mention of a specific trick (waterfall) suggests engagement with the content, further reinforcing positivity.",2.85,0.01,579,0.14,79,2.70,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment begins with a statement of close attention and admiration, indicating a positive tone. The user expresses belief in magic as real and compliments the friend's mastery, which are both positive sentiments.",2.32,0.01,618,0.25,60,2.06,0,1,8192
