Comment,gemma2:2b - Sentiment,gemma2:2b - Reasoning,gemma2:2b - Total Duration,gemma2:2b - Load Duration,gemma2:2b - Prompt Eval Count,gemma2:2b - Prompt Eval Duration,gemma2:2b - Eval Count,gemma2:2b - Eval Duration,gemma2:2b - Temperature,gemma2:2b - Seed,gemma2:2b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The YouTube comment expresses a negative sentiment through several key phrases and word choices: 1) 'Leaving.' This indicates a sense of disengagement or dissatisfaction with the video content. 2) 'Very impressive but getting old.'  This suggests that while the video's initial presentation was impactful, it may have become repetitive or outdated in the speaker's opinion. 3) 'Peace out.' This phrase is often used to signal an exit from a situation or interaction, implying a lack of enthusiasm for the content.",3.28,0.03,605,1.27,122,1.97,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"This comment exhibits strong positive sentiment, driven by several factors: 1. **Expresses Gratitude:** The commenter begins by expressing appreciation for Jason's videos and their impact on their life during deployment. This demonstrates a genuine sense of gratitude and admiration. 2. **Specific Request:** The request for a trick involving the numbers 6, 1, and 8 is specific and shows an interest in Jason's content. It also highlights the commenter's anticipation for returning home and engaging with Jason's videos again. 3. **Enthusiasm and Support:**  The comment expresses excitement about future events like a show and encourages continued posting from Jason. This demonstrates support and enthusiasm for the channel. 4. **Personal Connection:** The mention of deployment in Iraq adds a personal touch, highlighting the commenter's unique situation and their connection to Jason's content. This creates a sense of shared experience and strengthens the positive sentiment.",3.55,0.02,752,0.20,210,3.33,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment towards the YouTuber's self-deprecating humor and his perceived lack of humility. Here's why:

* **",1.26,0.02,604,0.05,62,1.19,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"This comment exhibits a positive sentiment, likely due to several factors: 1) **Enthusiastic Response:** The phrase 'Welcome to the hustle, indeed!' shows excitement and agreement with the video's message. 2) **Humor & Relatability:** The use of the 'includes paid promotion' tag as a humorous observation highlights the commentor's awareness of potential commercialization in the video. This relatability fosters a positive connection with the creator. 3) **Positive Affirmation:**  The closing statement, ",2.91,0.02,632,0.07,152,2.81,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment 'I am so good' followed by '🤣🤣' indicates a strong positive sentiment. 🎤 Here's why:

* **Confidence:** The phrase 'I am so good' conveys confidence and self-assurance, which is often associated with positive emotions.
* **Humor:**  The use of '🤣🤣🤣' suggests the comment is delivered in a humorous way, likely as a playful jab at the video content. This adds to the overall positive tone.

**Contextual Analysis:** The YouTube video itself focuses on a magician-like performance involving cards and a focus on achieving specific outcomes (e.g., pulling out a King of Hearts).  The comment's delivery reinforces this context, suggesting a playful yet confident approach to the magic act.",2.80,0.02,600,0.05,175,2.73,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"This comment expresses strong positive sentiment towards the YouTuber and his content. Here's why: 1) **Strong affirmation:** The phrase 'hands down the best I've ever seen' clearly conveys a high level of approval and admiration for the YouTuber's skills. 2) **Personal connection:**  The comment goes beyond just praising the skill, mentioning that the YouTuber seems like someone ",2.27,0.02,664,0.10,117,2.15,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses a positive sentiment towards the video content, specifically highlighting the 'nicely done' aspect of the performance. The use of the laughing emoji (😂) further reinforces this positive tone and suggests amusement or approval. 500 dollars for an advertisement is presented as a humorous observation, implying that the performance was successful in achieving its intended purpose.  The comment also subtly acknowledges the video's commercial nature by mentioning 'advertisement'. This combination of elements points towards a positive sentiment.",1.93,0.02,608,0.05,116,1.86,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"This comment expresses a strong positive sentiment towards the YouTuber, Jason. Here's why:

* **",0.86,0.02,609,0.05,45,0.79,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a clear and enthusiastic positive sentiment. Here's why:

* **",1.08,0.02,601,0.05,50,1.01,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,This comment exhibits a strong positive sentiment. Here's why: 1) **,1.26,0.02,642,0.07,56,1.17,0,1,8192
