Comment,qwen2.5:1.5b - Sentiment,qwen2.5:1.5b - Reasoning,qwen2.5:1.5b - Total Duration,qwen2.5:1.5b - Load Duration,qwen2.5:1.5b - Prompt Eval Count,qwen2.5:1.5b - Prompt Eval Duration,qwen2.5:1.5b - Eval Count,qwen2.5:1.5b - Eval Duration,qwen2.5:1.5b - Temperature,qwen2.5:1.5b - Seed,qwen2.5:1.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses disappointment and a lack of enthusiasm for the video, as evidenced by phrases like 'Very impressive' which is followed by 'but getting old'. The commenter also uses 'Peace out', indicating they are not interested in continuing or engaging further with the content. This suggests a negative sentiment towards the video.",1.86,0.02,617,0.88,80,0.95,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment is not related to the video context provided, but rather expresses gratitude and a request for future content. The sentiment appears to be positive overall, with expressions of appreciation and encouragement. However, it does not align with the tone or subject matter of the original YouTube video.",1.05,0.01,760,0.15,73,0.88,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,The comment criticizes the speaker for self-promotion and implies that they are not credible. The use of 'trash talks' suggests a negative attitude towards the speaker's abilities or reputation.,0.71,0.01,615,0.04,55,0.65,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment expresses disappointment and skepticism towards a paid promotion, which is not aligned with the positive sentiment typically associated with a video promoting a cosmetic dentist in San Diego. The use of 'Welcome to the hustle' suggests an attempt at humor but ultimately fails due to the negative context. Key phrases like 'I don't even know what's real anymore' indicate a loss of trust and disbelief, further reinforcing the negative sentiment.",1.26,0.01,642,0.06,101,1.19,0,1,8192
"""I am so good""  🤣🤣🤣",NEGATIVE,"The comment is sarcastically praising the speaker's supposed skill, which is clearly a joke. The use of multiple 'c' characters and the phrase 'I am so good' indicates sarcasm and mockery rather than genuine enthusiasm or positive sentiment.",0.83,0.01,615,0.04,66,0.77,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive sentiment towards the video creator, Dr Elana. Key phrases include 'hands down the best', 'I've never seen anything like this before', and 'thanks for all the awesome content'. The commenter is clearly impressed with Dr Elana's skills and charisma, indicating a highly favorable opinion of her performance in the video.",1.13,0.01,671,0.08,87,1.04,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment is negative because the person is mocking the $500 price tag that was mentioned in the video context, which they consider as a waste of money. The use of 'nicely done' and 'she paid 500 for an advertisement' implies sarcasm and criticism towards the speaker's opinion on the value of the request.",1.09,0.01,621,0.05,88,1.03,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses strong admiration for Jason, using phrases like 'even better' and calling him the 'GOAT'. The enthusiasm and positive language indicate a highly favorable sentiment towards Jason's live performance. There is no negative or critical tone present in this comment.",0.87,0.01,624,0.04,69,0.81,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses enthusiasm and admiration for a specific card trick, using phrases like 'always love' and 'truly impressive'. The context of the video is not provided, but based on the sentiment alone, it can be classified as positive.",0.83,0.01,612,0.04,66,0.78,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The commenter expresses admiration for the magician's skills, stating they can't spot how he pulls off his tricks. This indicates a positive sentiment towards the performance. The use of 'mastered' suggests confidence in the magician's abilities.",0.84,0.01,653,0.06,64,0.76,0,1,8192
