Comment,deepseek-r1:7b - Sentiment,deepseek-r1:7b - Reasoning,deepseek-r1:7b - Total Duration,deepseek-r1:7b - Load Duration,deepseek-r1:7b - Prompt Eval Count,deepseek-r1:7b - Prompt Eval Duration,deepseek-r1:7b - Eval Count,deepseek-r1:7b - Eval Duration,deepseek-r1:7b - Temperature,deepseek-r1:7b - Seed,deepseek-r1:7b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses a mix of positive and negative emotions, but the overall sentiment leans towards negative. The phrase 'getting old' conveys a sense of weariness or tiredness, which is a negative emotion. Additionally, the use of 'Leaving' might imply a desire to end something, possibly indicating dissatisfaction with the content or experience. The combination of positive and negative elements results in an overall negative sentiment.",5.79,0.01,161,2.40,106,3.38,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",NEGATIVE,"The comment expresses strong support for Jason and his work, but also contains elements of longing and anxiety. The phrase 'I plan on going to a show when I get back this summer so post those dates as soon as you know them!' shows that the speaker is looking forward to returning home and engaging with others, indicating some level of excitement or eagerness. However, the overall tone leans towards negative because the speaker mentions being deployed in Iraq and expresses a desire for Jason's continued success, which could be interpreted as a slight criticism of his work's impact on their deployment experience. The context provided supports this sentiment by highlighting the military background and the specific timing of the comment.",5.47,0.01,304,0.53,156,4.93,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment through the use of strong language like 'trash talks' and 'no one is safe.' The speaker is indicating frustration or disapproval, suggesting that even within oneself, there are situations where others cannot be protected. This reflects a critical or dismissive attitude towards others.",2.73,0.01,159,0.13,81,2.58,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",NEGATIVE,"The comment expresses a sense of disillusionment or uncertainty about the content's authenticity, using phrases like 'don't even know what's real' which suggests doubt and skepticism towards the promotion's legitimacy.",2.21,0.01,186,0.23,61,1.97,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment expresses a high level of satisfaction or happiness. The use of emojis like laughter emojis (😂) conveys an enthusiastic and positive emotion. The phrase 'I am so good' is a strong affirmation of success, capability, or well-being, which inherently carries a positive sentiment. The combination of the affirmative statement with the celebratory emojis reinforces the positivity of the comment.",3.22,0.01,159,0.13,97,3.07,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong approval and enthusiasm about the video content. The use of words like 'best' and 'awesome' clearly conveys positive sentiment. Additionally, phrases such as 'hands down' and 'helluva guy' further emphasize a highly favorable impression. The speaker also thanks the creator for their content, which indicates appreciation and support.",3.28,0.01,215,0.31,93,2.96,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,NEGATIVE,"The comment expresses a neutral tone with the mention of 'she' possibly indicating a gendered reference, but the primary sentiment is negative due to the cost implication of 500 units for an advertisement. The phrase 'paid 500' conveys dissatisfaction or disapproval towards the cost involved.",2.76,0.01,165,0.13,83,2.62,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses enthusiasm and admiration for Jason's performance. The use of words like 'great' (implied through 'GOAT') conveys excitement, while 'definitely the GOAT' strongly indicates high praise and confidence in his abilities.",2.50,0.01,168,0.13,73,2.35,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment expresses a positive sentiment towards the 'waterfall trick.' The phrase 'Always love' conveys enthusiasm and appreciation for the trick. Additionally, 'Truly impressive' reinforces this sentiment by highlighting the skill or effectiveness of the trick.",2.39,0.01,156,0.13,70,2.24,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the magician's skills, uses positive language like 'mastered it' to commend their ability, and highlights the complexity of the tricks, indicating high satisfaction.",2.18,0.01,197,0.23,60,1.94,0,1,8192
