Comment,qwen2.5:0.5b - Sentiment,qwen2.5:0.5b - Reasoning,qwen2.5:0.5b - Total Duration,qwen2.5:0.5b - Load Duration,qwen2.5:0.5b - Prompt Eval Count,qwen2.5:0.5b - Prompt Eval Duration,qwen2.5:0.5b - Eval Count,qwen2.5:0.5b - Eval Duration,qwen2.5:0.5b - Temperature,qwen2.5:0.5b - Seed,qwen2.5:0.5b - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,NEGATIVE,"The comment expresses disappointment and a sense of loss, with the phrase 'Very impressive' indicating that the person found something noteworthy or valuable. The use of 'but' suggests that this is not the end of their positive experience, which further contributes to the overall negative sentiment.",0.79,0.02,186,0.27,72,0.49,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The comment expresses gratitude and appreciation for Jason's videos, mentions the author's upcoming deployment in Iraq, and requests a specific trick. The tone is warm and appreciative, with no negative words or phrases that would classify it as neutral or negative.",0.52,0.01,329,0.05,67,0.45,0,1,8192
He even trash talks himself  truly no one is safe,NEGATIVE,"The comment expresses a negative sentiment. The phrase 'truly no one is safe' suggests that the person being referred to is in danger, which is inherently negative.",0.37,0.01,184,0.02,51,0.33,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The comment expresses a positive sentiment towards the hashtag 'includes paid promotion' and mentions that the author is happy with the inclusion of this tag, indicating satisfaction with the content. The phrase 'love how' suggests an emotional connection to the hashtag, which further supports the positive sentiment.",0.53,0.01,211,0.02,73,0.49,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment uses exclamation marks and emojis, which convey enthusiasm and excitement. The phrase 'I am so good' suggests the user is expressing their positive feelings about something or someone. Additionally, the use of 🤣 and 😲 emojis indicates a playful tone that adds to the overall positive sentiment.",0.56,0.01,184,0.02,78,0.53,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The comment expresses strong positive emotions towards the video creator, highlighting their exceptional quality and popularity. Key phrases such as 'hands down', 'best I've ever seen', and 'helluva guy' indicate a high level of admiration and appreciation for the content. The use of exclamation marks and capitalization further emphasize the positive sentiment.",0.64,0.01,240,0.03,85,0.59,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment expresses a positive sentiment, as it praises the user's work and mentions that they received a discount on an advertisement. The use of emojis (😊) further emphasizes the positive tone.",0.42,0.01,190,0.02,56,0.39,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The comment expresses enthusiasm and admiration for Jason's performance, using positive language like 'even better' and 'GOAT'. The use of exclamation marks also indicates excitement and a sense of awe. This clearly conveys a positive sentiment towards Jason's live performance.",0.48,0.01,193,0.02,70,0.45,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment uses positive language such as 'always love' and 'truly impressive', which indicates a strong positive sentiment. The phrase 'waterfall trick' suggests that the commenter is referring to a specific skill or technique, implying that they are impressed by it.",0.49,0.01,181,0.02,70,0.46,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"The comment expresses admiration for the performer's skill, highlighting their ability to perform tricks accurately. The use of phrases like 'mastered' and 'real' indicates a positive sentiment towards the performer.",0.42,0.01,222,0.03,57,0.38,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The comment uses positive language such as 'burning', which indicates anger or frustration. The use of an exclamation mark and the exclamation point also conveys strong emotion. Additionally, the phrase 'must be burning' suggests that the person is expressing a negative sentiment about something, further supporting the classification as POSITIVE.",0.58,0.01,184,0.02,82,0.55,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration for the video's creator, highlighting their impressive abilities and the quality of the CGI. The phrase 'Genius is expensive' suggests that the creator is not just a good person but also has high skill levels and resources. Overall, the tone is appreciative and positive.",0.55,0.01,205,0.02,76,0.51,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration and disappointment with Mr. Jason, who is described as 'talking to the wall' and not being able to interact with others in a meaningful way. The use of phrases like 'hardest thing for', 'standing', and 'not actually someone standing' indicates that the person is feeling hurt or annoyed by this interaction.",0.60,0.01,190,0.02,87,0.57,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment expresses a positive sentiment towards respecting others' opinions or preferences, which is typically associated with respect and admiration. The use of 'respect' indicates that the commenter values their own opinion and feels it's important to be heard. Additionally, the phrase 'leaving in the blooper' suggests a sense of humor or playfulness, further emphasizing the positive tone.",0.64,0.01,181,0.02,91,0.61,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment uses positive language and exclamation marks, such as '🚀', '😂', and '🔥'. The user expresses surprise and admiration for Jason's skills, which indicates a positive sentiment. Additionally, the use of emojis and the overall tone suggests that the user is excited about Jason's performance.",0.56,0.01,216,0.02,78,0.52,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses a positive sentiment towards someone who excels in their field and is perceived as arrogant. The use of 'love' indicates admiration, which suggests an overall positive emotional tone. Additionally, the phrase 'you've certainly earned the right' implies that the person being referred to has achieved something noteworthy or impressive, further reinforcing the positive sentiment.",0.62,0.01,193,0.02,87,0.58,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment uses positive language such as 'absolutely incredible' and emphasizes the waterfall's features, indicating a high level of satisfaction and enthusiasm.",0.34,0.01,181,0.02,46,0.31,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and appreciation for the author's skill in card manipulation, which is a positive sentiment. The use of exclamation points and emojis further emphasize the positive tone.",0.42,0.02,195,0.02,53,0.38,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment expresses frustration and disappointment with Jason's actions. The use of exclamation marks, the phrase 'I figuree it out', and the comparison to a book shelf all contribute to an overall negative sentiment.",0.44,0.01,243,0.03,60,0.40,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment uses the word 'obviously', which indicates a negative sentiment. The phrase 'shuffles' suggests that something is being altered or changed, implying a sense of change or alteration, which can be seen as a negative action.",0.45,0.01,178,0.02,65,0.42,0,1,8192
