Comment,smollm2:360m - Sentiment,smollm2:360m - Reasoning,smollm2:360m - Total Duration,smollm2:360m - Load Duration,smollm2:360m - Prompt Eval Count,smollm2:360m - Prompt Eval Duration,smollm2:360m - Eval Count,smollm2:360m - Eval Duration,smollm2:360m - Temperature,smollm2:360m - Seed,smollm2:360m - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment is overwhelmingly positive, with a strong emphasis on the speaker's appreciation for their accomplishments and the overall sentiment of being impressed by the content. The use of words like 'very impressive' and 'peace out' further reinforce this feeling.",1.00,0.02,180,0.42,68,0.55,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"The YouTube comment is overwhelmingly positive, with the sentiment leaning towards NEGATIVE. The tone of the comment is enthusiastic and supportive, with phrases like 'love you' and 'me in pfp.' Additionally, the use of words such as 'trick,' 'deployed,' and 'Iraq' contribute to a sense of camaraderie and shared experience among the users. Furthermore, the context of the comment suggests that it was posted on June 18th, which is likely when Jason will be returning home from his deployment.",1.04,0.01,323,0.04,126,0.99,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"The sentiment of this comment appears to be positive, as it expresses admiration for the individual's self-deprecating humor. The use of phrases like 'trash talks himself' and 'no one is safe' suggests a lighthearted and playful tone.",0.56,0.01,178,0.02,71,0.54,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"The YouTube comment is overwhelmingly positive, with a strong emphasis on the use of the ",0.32,0.01,207,0.02,37,0.29,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"The comment 'I am so good' is a positive statement. The tone of the comment is enthusiastic and sincere, indicating that the person expressing it is happy with their performance or achievement. The use of words like 'so', 'amazing', and 'great' adds to this sentiment.",0.62,0.01,182,0.02,78,0.60,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"The YouTube comment is overwhelmingly positive, as evidenced by the use of words such as 'best', 'hands down', and 'helluva'. Additionally, the tone is enthusiastic and supportive, with phrases like 'It doesn't matter how many times I watch these videos' and 'Thanks for all the awesome content!' indicating a strong endorsement. Furthermore, the context suggests that the commenter enjoyed the video and found it enjoyable, which further supports the positive sentiment.",0.90,0.01,234,0.03,112,0.87,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"The comment is overwhelmingly positive, with the tone being enthusiastic and appreciative of the user's effort in paying a large amount for an advertisement. The key phrases that influenced this classification include 'Nicely done' and 'she paid 500 for an advertisement.' These phrases convey a sense of satisfaction and appreciation towards the user's actions.",0.69,0.01,184,0.02,88,0.67,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"The tone of this comment suggests that the person who made it has a favorable opinion of Jason's performance and his overall quality as an entertainer. The use of words like 'better live' indicates a positive sentiment, while phrases like 'GOAT!' reinforce this idea.",0.59,0.01,189,0.02,74,0.56,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The comment is overwhelmingly positive, with a strong emphasis on the performer's skill and enthusiasm. The use of words like 'always' and 'truly impressive' further reinforce this sentiment.",0.45,0.00,176,0.02,57,0.43,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"After careful analysis, I determined that the YouTube comment was positive due to its enthusiastic endorsement of Magic as a real phenomenon. The use of phrases such as 'I have been watching you very closely' and 'So after careful analysis  I have decided that Magic is 100% real' indicate a strong emotional tone and context that supports this classification.",0.72,0.01,216,0.02,91,0.70,0,1,8192
